MinMAP,MaxMAP,MinTemp,MaxTemp,MinDI,MaxDI,DF
30,39,107,9999,550,639,11
30,39,107,9999,640,699,6
30,39,107,9999,700,759,4
30,39,107,9999,760,799,1
30,39,107,9999,800,9999,0
30,39,104,106,0,49,35
30,39,104,106,50,99,33
30,39,104,106,100,149,31
30,39,104,106,150,199,28
30,39,104,106,200,249,26
30,39,104,106,250,299,24
30,39,104,106,300,349,22
30,39,104,106,350,399,19
30,39,104,106,400,449,17
30,39,104,106,450,499,15
30,39,104,106,500,549,13
30,39,104,106,550,639,9
30,39,104,106,640,699,5
30,39,104,106,700,759,3
30,39,104,106,760,799,1
30,39,104,106,800,9999,0
30,39,101,103,0,49,30
30,39,101,103,50,99,28
30,39,101,103,100,149,26
30,39,101,103,150,199,24
30,39,101,103,200,249,22
30,39,101,103,250,299,20
30,39,101,103,300,349,19
30,39,101,103,350,399,17
30,39,101,103,400,449,15
30,39,101,103,450,499,13
30,39,101,103,500,549,11
30,39,101,103,550,639,8
30,39,101,103,640,699,5
30,39,101,103,700,759,3
30,39,101,103,760,799,1
30,39,101,103,800,9999,0
30,39,98,100,0,49,26
30,39,98,100,50,99,24
30,39,98,100,100,149,23
30,39,98,100,150,199,21
30,39,98,100,200,249,19
30,39,98,100,250,299,18
30,39,98,100,300,349,16
30,39,98,100,350,399,14
30,39,98,100,400,449,13
30,39,98,100,450,499,11
30,39,98,100,500,549,9
30,39,98,100,550,639,7
30,39,98,100,640,699,4
30,39,98,100,700,759,2
30,39,98,100,760,799,1
30,39,98,100,800,9999,0
30,39,95,97,0,49,22
30,39,95,97,50,99,21
30,39,95,97,100,149,19
30,39,95,97,150,199,18
30,39,95,97,200,249,16
30,39,95,97,250,299,15
30,39,95,97,300,349,14
30,39,95,97,350,399,12
30,39,95,97,400,449,11
30,39,95,97,450,499,9
30,39,95,97,500,549,8
30,39,95,97,550,639,6
30,39,95,97,640,699,3
30,39,95,97,700,759,2
30,39,95,97,760,799,1
30,39,95,97,800,9999,0
30,39,92,94,0,49,19
30,39,92,94,50,99,18
30,39,92,94,100,149,16
30,39,92,94,150,199,15
30,39,92,94,200,249,14
30,39,92,94,250,299,13
30,39,92,94,300,349,12
30,39,92,94,350,399,10
30,39,92,94,400,449,9
30,39,92,94,450,499,8
30,39,92,94,500,549,7
30,39,92,94,550,639,5
30,39,92,94,640,699,3
30,39,92,94,700,759,2
30,39,92,94,760,799,1
30,39,92,94,800,9999,0
30,39,89,91,0,49,16
30,39,89,91,50,99,15
30,39,89,91,100,149,14
30,39,89,91,150,199,13
30,39,89,91,200,249,12
30,39,89,91,250,299,11
30,39,89,91,300,349,10
30,39,89,91,350,399,9
30,39,89,91,400,449,8
30,39,89,91,450,499,7
30,39,89,91,500,549,6
30,39,89,91,550,639,4
30,39,89,91,640,699,3
30,39,89,91,700,759,1
30,39,89,91,760,799,1
30,39,89,91,800,9999,0
30,39,86,88,0,49,14
30,39,86,88,50,99,13
30,39,86,88,100,149,12
30,39,86,88,150,199,11
30,39,86,88,200,249,10
30,39,86,88,250,299,9
30,39,86,88,300,349,8
30,39,86,88,350,399,7
30,39,86,88,400,449,7
30,39,86,88,450,499,6
30,39,86,88,500,549,5
30,39,86,88,550,639,4
30,39,86,88,640,699,2
30,39,86,88,700,759,1
30,39,86,88,760,799,1
30,39,86,88,800,9999,0
30,39,83,85,0,49,11
30,39,83,85,50,99,11
30,39,83,85,100,149,10
30,39,83,85,150,199,9
30,39,83,85,200,249,9
30,39,83,85,250,299,8
30,39,83,85,300,349,7
30,39,83,85,350,399,6
30,39,83,85,400,449,6
30,39,83,85,450,499,5
30,39,83,85,500,549,4
30,39,83,85,550,639,3
30,39,83,85,640,699,2
30,39,83,85,700,759,1
30,39,83,85,760,799,1
30,39,83,85,800,9999,0
30,39,80,82,0,49,10
30,39,80,82,50,99,9
30,39,80,82,100,149,8
30,39,80,82,150,199,8
30,39,80,82,200,249,7
30,39,80,82,250,299,7
30,39,80,82,300,349,6
30,39,80,82,350,399,5
30,39,80,82,400,449,5
30,39,80,82,450,499,4
30,39,80,82,500,549,3
30,39,80,82,550,639,3
30,39,80,82,640,699,2
30,39,80,82,700,759,1
30,39,80,82,760,799,0
30,39,80,82,800,9999,0
30,39,77,79,0,49,8
30,39,77,79,50,99,8
30,39,77,79,100,149,7
30,39,77,79,150,199,7
30,39,77,79,200,249,6
30,39,77,79,250,299,6
30,39,77,79,300,349,5
30,39,77,79,350,399,4
30,39,77,79,400,449,4
30,39,77,79,450,499,3
30,39,77,79,500,549,3
30,39,77,79,550,639,2
30,39,77,79,640,699,1
30,39,77,79,700,759,1
30,39,77,79,760,799,0
30,39,77,79,800,9999,0
30,39,74,76,0,49,7
30,39,74,76,50,99,6
30,39,74,76,100,149,6
30,39,74,76,150,199,5
30,39,74,76,200,249,5
30,39,74,76,250,299,5
30,39,74,76,300,349,4
30,39,74,76,350,399,4
30,39,74,76,400,449,3
30,39,74,76,450,499,3
30,39,74,76,500,549,2
30,39,74,76,550,639,2
30,39,74,76,640,699,1
30,39,74,76,700,759,1
30,39,74,76,760,799,0
30,39,74,76,800,9999,0
30,39,71,73,0,49,6
30,39,71,73,50,99,5
30,39,71,73,100,149,5
30,39,71,73,150,199,5
30,39,71,73,200,249,4
30,39,71,73,250,299,4
30,39,71,73,300,349,3
30,39,71,73,350,399,3
30,39,71,73,400,449,3
30,39,71,73,450,499,2
30,39,71,73,500,549,2
30,39,71,73,550,639,2
30,39,71,73,640,699,1
30,39,71,73,700,759,1
30,39,71,73,760,799,0
30,39,71,73,800,9999,0
30,39,68,70,0,49,5
30,39,68,70,50,99,4
30,39,68,70,100,149,4
30,39,68,70,150,199,4
30,39,68,70,200,249,3
30,39,68,70,250,299,3
30,39,68,70,300,349,3
30,39,68,70,350,399,3
30,39,68,70,400,449,2
30,39,68,70,450,499,2
30,39,68,70,500,549,2
30,39,68,70,550,639,1
30,39,68,70,640,699,1
30,39,68,70,700,759,1
30,39,68,70,760,799,0
30,39,68,70,800,9999,0
30,39,65,67,0,49,4
30,39,65,67,50,99,3
30,39,65,67,100,149,3
30,39,65,67,150,199,3
30,39,65,67,200,249,3
30,39,65,67,250,299,3
30,39,65,67,300,349,2
30,39,65,67,350,399,2
30,39,65,67,400,449,2
30,39,65,67,450,499,2
30,39,65,67,500,549,1
30,39,65,67,550,639,1
30,39,65,67,640,699,1
30,39,65,67,700,759,1
30,39,65,67,760,799,0
30,39,65,67,800,9999,0
30,39,62,64,0,49,3
30,39,62,64,50,99,3
30,39,62,64,100,149,3
30,39,62,64,150,199,2
30,39,62,64,200,249,2
30,39,62,64,250,299,2
30,39,62,64,300,349,2
30,39,62,64,350,399,2
30,39,62,64,400,449,1
30,39,62,64,450,499,1
30,39,62,64,500,549,1
30,39,62,64,550,639,1
30,39,62,64,640,699,1
30,39,62,64,700,759,1
30,39,62,64,760,799,0
30,39,62,64,800,9999,0
30,39,59,61,0,49,2
30,39,59,61,50,99,2
30,39,59,61,100,149,2
30,39,59,61,150,199,2
30,39,59,61,200,249,2
30,39,59,61,250,299,2
30,39,59,61,300,349,1
30,39,59,61,350,399,1
30,39,59,61,400,449,1
30,39,59,61,450,499,1
30,39,59,61,500,549,1
30,39,59,61,550,639,1
30,39,59,61,640,699,1
30,39,59,61,700,759,0
30,39,59,61,760,799,0
30,39,59,61,800,9999,0
30,39,56,58,0,49,2
30,39,56,58,50,99,2
30,39,56,58,100,149,2
30,39,56,58,150,199,1
30,39,56,58,200,249,1
30,39,56,58,250,299,1
30,39,56,58,300,349,1
30,39,56,58,350,399,1
30,39,56,58,400,449,1
30,39,56,58,450,499,1
30,39,56,58,500,549,1
30,39,56,58,550,639,1
30,39,56,58,640,699,1
30,39,56,58,700,759,0
30,39,56,58,760,799,0
30,39,56,58,800,9999,0
30,39,53,55,0,49,1
30,39,53,55,50,99,1
30,39,53,55,100,149,1
30,39,53,55,150,199,1
30,39,53,55,200,249,1
30,39,53,55,250,299,1
30,39,53,55,300,349,1
30,39,53,55,350,399,1
30,39,53,55,400,449,1
30,39,53,55,450,499,1
30,39,53,55,500,549,1
30,39,53,55,550,639,1
30,39,53,55,640,699,0
30,39,53,55,700,759,0
30,39,53,55,760,799,0
30,39,53,55,800,9999,0
30,39,50,52,0,49,1
30,39,50,52,50,99,1
30,39,50,52,100,149,1
30,39,50,52,150,199,1
